,precision,recall,f1-score,support
Apple___Apple_scab,0.6666666666666666,0.03333333333333333,0.06349206349206349,120.0
Apple___healthy,1.0,0.0033444816053511705,0.006666666666666666,299.0
Background_without_leaves,0.5588235294117647,0.17272727272727273,0.2638888888888889,220.0
Blueberry___healthy,0.15966386554621848,0.06690140845070422,0.09429280397022331,284.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.0,0.0,0.0,105.0
Corn___Common_rust,0.4036697247706422,0.18723404255319148,0.2558139534883721,235.0
Corn___Northern_Leaf_Blight,0.36363636363636365,0.13861386138613863,0.2007168458781362,202.0
Corn___healthy,0.5877862595419847,0.3130081300813008,0.4084880636604774,246.0
Grape___Black_rot,0.0,0.0,0.0,232.0
Grape___Esca_(Black_Measles),0.20388349514563106,0.07664233576642336,0.11140583554376658,274.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.0,0.0,0.0,213.0
Orange___Haunglongbing_(Citrus_greening),0.29748603351955305,0.39262672811059907,0.3384982121573301,1085.0
Peach___Bacterial_spot,0.0,0.0,0.0,439.0
"Pepper,_bell___Bacterial_spot",0.0,0.0,0.0,214.0
"Pepper,_bell___healthy",0.25,0.009933774834437087,0.019108280254777073,302.0
Potato___Early_blight,0.09859154929577464,0.033816425120772944,0.050359712230215826,207.0
Potato___Late_blight,0.0,0.0,0.0,184.0
Soybean___healthy,0.3477112676056338,0.3812741312741313,0.3637200736648251,1036.0
Squash___Powdery_mildew,0.4166666666666667,0.16129032258064516,0.2325581395348837,372.0
Strawberry___Leaf_scorch,0.0851063829787234,0.01932367149758454,0.031496062992125984,207.0
Tomato___Late_blight,0.1111111111111111,0.0025906735751295338,0.005063291139240506,386.0
Tomato___Leaf_Mold,0.11363636363636363,0.07575757575757576,0.09090909090909091,198.0
Tomato___Septoria_leaf_spot,0.06611570247933884,0.0226628895184136,0.03375527426160338,353.0
Tomato___Target_Spot,0.18181818181818182,0.020066889632107024,0.03614457831325302,299.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.12564594714306807,0.7800183318056828,0.21642929806714142,1091.0
Tomato___healthy,0.11956521739130435,0.2043343653250774,0.15085714285714286,323.0
